Geography,Population Estimate (as of July 1) - 2018
"Roseland town, Indiana",633
"Mangham town, Louisiana",632
"Sandy Lake borough, Pennsylvania",632
"Grosse Tete village, Louisiana",632
"Tripp city, South Dakota",632
"Taconite city, Minnesota",632
"Rose City city, Michigan",631
"Milnor city, North Dakota",631
"Ocean Isle Beach town, North Carolina",631
"Notus city, Idaho",631
"Dove Creek town, Colorado",630
"Peterstown town, West Virginia",630
"New Market town, Indiana",630
"Parma city, Missouri",629
"Madison city, Kansas",629
"Davis village, Illinois",629
"West College Corner town, Indiana",629
"Balaton city, Minnesota",629
"Winterstown borough, Pennsylvania",629
"Ladonia town, Texas",629
"New Chapel Hill city, Texas",629
"Isola town, Mississippi",628
"St. Francisville city, Illinois",628
"Ridgecrest town, Louisiana",628
"Risingsun village, Ohio",628
"Camp Douglas village, Wisconsin",628
"Algoma town, Mississippi",628
"Whitsett town, North Carolina",628
"Canistota city, South Dakota",627
"English town, Indiana",627
"Burlington village, Illinois",627
"Alexandria city, South Dakota",627
"Bennington city, Kansas",626
"Harmony town, Indiana",626
"Trafford town, Alabama",626
"Avoca village, Wisconsin",626
"Roberts city, Idaho",626
"Derby Line village, Vermont",625
"Lakota city, North Dakota",625
"Port Austin village, Michigan",625
"Bettsville village, Ohio",625
"Pinckard town, Alabama",625
"Gates town, Tennessee",625
"Glenville city, Minnesota",625
"Brooksville city, Kentucky",625
"Oneida Castle village, New York",625
"Wibaux town, Montana",625
"Boyce town, Virginia",625
"Imboden town, Arkansas",624
"Sankertown borough, Pennsylvania",624
"Hammondsport village, New York",624
"Reece City town, Alabama",624
"What Cheer city, Iowa",624
"Holland town, Indiana",624
"Baileyton town, Alabama",624
"Pilot Station city, Alaska",624
"Ridgeley town, West Virginia",623
"Elk Horn city, Iowa",623
"Rule town, Texas",623
"Elmore city, Minnesota",622
"Conneaut Lake borough, Pennsylvania",622
"Randall city, Minnesota",622
"Trimble city, Missouri",622
"Allardt city, Tennessee",622
"Allgood town, Alabama",622
"Pleasant Hope city, Missouri",622
"Matador town, Texas",622
"Elgin city, Nebraska",621
"Irvington village, Illinois",621
"St. Charles city, Iowa",621
"Ozawkie city, Kansas",621
"Golden village, Illinois",621
"Mifflin borough, Pennsylvania",621
"Stockbridge village, Wisconsin",621
"Garland town, North Carolina",621
"Bergholz village, Ohio",620
"Blairsville city, Georgia",620
"Campbell city, Texas",620
"Fairfield town, Washington",620
"Lahoma town, Oklahoma",620
"Menno city, South Dakota",620
"Catawba town, North Carolina",620
"Westcliffe town, Colorado",620
"Jay town, Florida",620
"Danville town, West Virginia",619
"Dillonvale village, Ohio",619
"Webster village, Wisconsin",619
"Shiloh village, Ohio",619
"Roby city, Texas",619
"Triana town, Alabama",619
"Sea Ranch Lakes village, Florida",618
"Farmington city, Iowa",618
"Ava city, Illinois",618
"Lidgerwood city, North Dakota",618
"Huntington city, Arkansas",618
"Grove City city, Minnesota",618
"Hawley city, Texas",618
"Patterson Springs town, North Carolina",618
"Richfield town, North Carolina",618
"Garfield town, Washington",618
"New Berlin city, Texas",618
"Fort Cobb town, Oklahoma",617
"Suttons Bay village, Michigan",617
"New London town, North Carolina",617
"Queen City city, Missouri",617
"Hayden Lake city, Idaho",617
"Shishmaref city, Alaska",617
"Shelby city, Iowa",616
"Lowry City city, Missouri",616
"Crescent city, Iowa",616
"Zanesville town, Indiana",616
"Trimble town, Tennessee",615
"Cushing city, Texas",615
"Provencal village, Louisiana",615
"Cygnet village, Ohio",615
"Johnson City city, Oregon",615
"Scottsville town, Virginia",615
"Loyall city, Kentucky",614
"Cuyahoga Heights village, Ohio",614
"Smelterville city, Idaho",614
"Ingleside on the Bay city, Texas",614
"Greensboro town, Florida",614
"Myton city, Utah",614
"Irvona borough, Pennsylvania",613
"Paoli town, Oklahoma",613
"Albion town, Washington",613
"Sandy Hook city, Kentucky",612
"Lyndon village, Illinois",612
"Claflin city, Kansas",612
"Metamora village, Ohio",612
"Caneyville city, Kentucky",612
"Muir village, Michigan",612
"Bartelso village, Illinois",612
"Byron town, Wyoming",612
"Porter town, Oklahoma",612
"Garden City town, Utah",612
"Black Rock city, Arkansas",611
"North Courtland town, Alabama",611
"Cokeburg borough, Pennsylvania",611
"Hopkins village, Michigan",611
"Graford city, Texas",611
"Adams village, Nebraska",611
"Kirtland town, New Mexico",610
"New Augusta town, Mississippi",610
"McIntosh city, Minnesota",610
"Hardin city, Kentucky",610
"Moores Hill town, Indiana",610
"Whitesburg city, Georgia",610
"Dumont city, Iowa",609
"Nortonville city, Kansas",609
"Mountainburg city, Arkansas",609
"Mount Victory village, Ohio",609
"Camden town, Indiana",609
"Rosman town, North Carolina",609
"Laurel Hill city, Florida",609
"Springdale town, Utah",609
"Pomeroy city, Iowa",608
"Millington town, Maryland",608
"Harrisville village, New York",608
"Ursa village, Illinois",608
"Circle town, Montana",608
"Hartville city, Missouri",608
"Yatesville borough, Pennsylvania",608
"Ovid village, New York",608
"New England city, North Dakota",608
"Reedsville town, West Virginia",608
"Fontanelle city, Iowa",607
"McIntyre town, Georgia",607
"Newport village, New York",607
"Pavo city, Georgia",607
"Keystone city, Iowa",607
"Verona town, Missouri",607
"Dieterich village, Illinois",607
"Dodge City town, Alabama",607
"Lawrenceville borough, Pennsylvania",607
"Pattison city, Texas",607
"Plantersville city, Texas",606
"Elsah village, Illinois",606
"Prentice village, Wisconsin",606
"Fairmount village, Illinois",606
"San Jose village, Illinois",606
"West Milford town, West Virginia",606
"New Houlka town, Mississippi",606
"Maple Hill city, Kansas",606
"St. Libory village, Illinois",606
"Thurston village, Ohio",606
"Plum City village, Wisconsin",606
"Murchison city, Texas",606
"Murray Hill city, Kentucky",606
"Niederwald city, Texas",606
"Edgerton city, Missouri",606
"Littlefork city, Minnesota",605
"Bay View village, Ohio",605
"Beverly Shores town, Indiana",605
"Winona town, Texas",605
"Green City city, Missouri",604
"Oxford town, Maryland",604
"Florien village, Louisiana",604
"Doolittle city, Missouri",604
"Big Run borough, Pennsylvania",604
"Franklin village, Illinois",604
"Ireton city, Iowa",604
"Interlaken village, New York",604
"West Point town, Alabama",604
"Hornersville city, Missouri",603
"Kanawha city, Iowa",603
"Blandinsville village, Illinois",603
"Marquette city, Kansas",603
"Knoxville borough, Pennsylvania",603
"Barnum city, Minnesota",603
"Oxford village, Wisconsin",603
"Nome city, Texas",603
"Sharon town, South Carolina",603
"Howard city, Kansas",602
"Hooversville borough, Pennsylvania",602
"Cranesville borough, Pennsylvania",602
"Eau Claire village, Michigan",602
"Fallston town, North Carolina",602
"Burlington town, Indiana",602
"Poplar village, Wisconsin",602
"Glencoe town, Oklahoma",602
"Fort White town, Florida",602
"Cole town, Oklahoma",602
"Sutherland city, Iowa",601
"Goldfield city, Iowa",601
"Bath (Berkeley Springs) town, West Virginia",601
"Bedford Park village, Illinois",601
"Smithville city, Georgia",601
"Fairchild village, Wisconsin",601
"Clark borough, Pennsylvania",600
"Patterson Heights borough, Pennsylvania",600
"Cassadaga village, New York",600
"Matthews city, Missouri",600
"Walden town, Colorado",600
"Minto city, North Dakota",600
"Babbie town, Alabama",600
"Hopkins Park village, Illinois",600
"Winfall town, North Carolina",600
"Carnesville city, Georgia",600
"Doon city, Iowa",600
"Tamaroa village, Illinois",599
"Hartford City town, West Virginia",599
"Evansville city, Minnesota",599
"Oconomowoc Lake village, Wisconsin",599
"Rolette city, North Dakota",599
"Firth village, Nebraska",599
"Chenequa village, Wisconsin",599
"Napoleonville village, Louisiana",598
"Sherrard village, Illinois",598
"Tuxedo Park village, New York",598
"Velma town, Oklahoma",598
"Croghan village, New York",598
"Summit city, Arkansas",598
"Colbert city, Georgia",598
"Bancroft town, West Virginia",598
"Worthington borough, Pennsylvania",597
"Willisville village, Illinois",597
"Jasper city, Minnesota",597
"St. Paul city, Kansas",597
"Kelso village, Missouri",597
"Juliaetta city, Idaho",597
"Wampsville village, New York",597
"North Chevy Chase village, Maryland",597
"Forkland town, Alabama",596
"Grand Mound city, Iowa",596
"Peck village, Michigan",596
"Hopkinton city, Iowa",596
"Canton town, Oklahoma",596
"Swink town, Colorado",596
"Webbers Falls town, Oklahoma",596
"Grant Town town, West Virginia",596
"Dodge village, Nebraska",596
"Colmesneil city, Texas",596
"Avon city, South Dakota",596
"Boys Town village, Nebraska",595
"Littleton town, North Carolina",595
"East Bend town, North Carolina",595
"Oaktown town, Indiana",595
"Natchez village, Louisiana",595
"Kevil city, Kentucky",595
"Shipman town, Illinois",594
"Lucas village, Ohio",594
"Volente village, Texas",594
"Calumet town, Oklahoma",594
"Palestine city, Arkansas",593
"Arcadia village, Ohio",593
"Butterfield city, Minnesota",593
"Arlington city, Oregon",593
"Reardan town, Washington",593
"Boyle town, Mississippi",592
"Caddo Valley town, Arkansas",592
"Unionville village, New York",592
"Eads town, Colorado",592
"Kellogg city, Iowa",592
"Wheatland borough, Pennsylvania",591
"Cheneyville town, Louisiana",591
"Port Matilda borough, Pennsylvania",591
"Solon Springs village, Wisconsin",591
"Minden city, Iowa",591
"Etna Green town, Indiana",591
"Orderville town, Utah",591
"Hatley village, Wisconsin",591
"Greenwood village, Nebraska",591
"Norwood town, Colorado",591
"Cherry Valley city, Arkansas",590
"Jarratt town, Virginia",590
"Hill City city, Minnesota",590
"Oakwood village (Paulding County), Ohio",590
"Lawndale town, North Carolina",590
"Portland city, North Dakota",590
"Wainwright city, Alaska",590
"Naylor city, Missouri",589
"Chaumont village, New York",589
"Welch town, Oklahoma",589
"Kewanna town, Indiana",589
"Orleans city, Iowa",589
"Victory village, New York",589
"Bucoda town, Washington",589
"Danielsville city, Georgia",589
"Stagecoach town, Texas",589
"Oak Grove village, Illinois",589
"Dubois city, Idaho",588
"South Dayton village, New York",588
"Courtland town, Alabama",588
"Burke city, South Dakota",588
"Stanford village, Illinois",588
"Barnegat Light borough, New Jersey",588
"Center city, North Dakota",588
"Innsbrook village, Missouri",588
"Leadington city, Missouri",588
"Tusayan town, Arizona",587
"Pineville town, West Virginia",587
"Ansonville town, North Carolina",587
"Addison village, Michigan",587
"Stuart village, Nebraska",587
"Uvalda city, Georgia",586
"Hurtsboro town, Alabama",586
"Mulberry Grove village, Illinois",585
"Fonda city, Iowa",585
"Ulysses borough, Pennsylvania",585
"Tower Hill village, Illinois",585
"Vienna city, Missouri",585
"Cedar Bluffs village, Nebraska",585
"Hulbert town, Oklahoma",585
"Sunfield village, Michigan",585
"Ossipee town, North Carolina",585
"Varnamtown town, North Carolina",585
"Plainview city, Arkansas",584
"Holcomb city, Missouri",583
"Brookside village, Ohio",583
"Marion Heights borough, Pennsylvania",583
"Newell city, South Dakota",583
"Big Sandy town, Montana",583
"Cotton Plant city, Arkansas",582
"Simpson village, Louisiana",582
"Wausa village, Nebraska",582
"Clermont city, Iowa",582
"Emlenton borough, Pennsylvania",582
"Port Sanilac village, Michigan",582
"Butler city, Kentucky",582
"Colman city, South Dakota",582
"Meadow town, Texas",582
"Schaghticoke village, New York",582
"Encinal city, Texas",582
"Harmony town, North Carolina",582
"Foristell city, Missouri",582
"Pangburn city, Arkansas",581
"Bedford city, Kentucky",581
"Michie town, Tennessee",581
"Casco village, Wisconsin",581
"Glenaire city, Missouri",581
"Campobello town, South Carolina",581
"Cowden village, Illinois",580
"Sugar Grove borough, Pennsylvania",580
"Galena town, Maryland",580
"Moulton city, Iowa",580
"Eminence city, Missouri",580
"Miami city, Texas",580
"Corsica city, South Dakota",580
"Clayhatchee town, Alabama",580
"Pierce city, Idaho",580
"Surfside Beach city, Texas",580
"Newton city, Georgia",579
"Holiday Hills village, Illinois",579
"Ainsworth city, Iowa",579
"Wellington city, Kentucky",579
"Fairland town, Indiana",579
"Fairfax city, Missouri",578
"Keithsburg city, Illinois",578
"Campbellsburg town, Indiana",578
"Loa town, Utah",578
"Bernice town, Oklahoma",578
"Jamestown borough, Pennsylvania",577
"Nelliston village, New York",577
"Howells village, Nebraska",577
"Sand Rock town, Alabama",577
"Golinda city, Texas",577
"Sharpsville town, Indiana",576
"La Crosse town, Virginia",576
"Verndale city, Minnesota",576
"Dorchester village, Nebraska",576
"Rowlesburg town, West Virginia",576
"Lanesville town, Indiana",576
"Hot Springs town, North Carolina",576
"Wade town, North Carolina",576
"Garfield town, Arkansas",576
"Briarcliffe Acres town, South Carolina",576
"Sidell village, Illinois",575
"Morganza village, Louisiana",575
"Pickensville town, Alabama",575
"Racine city, Minnesota",575
"Warrior Run borough, Pennsylvania",574
"Brownsville village, Wisconsin",574
"Beaver City city, Nebraska",573
"Loraine town, Texas",573
"Culbertson village, Nebraska",573
"Humboldt town, South Dakota",573
"White River city, South Dakota",573
"Andover village, Illinois",573
"Vanderbilt village, Michigan",573
"St. Francis town, South Dakota",572
"Lewis Run borough, Pennsylvania",572
"Dana town, Indiana",572
"Arnold village, Nebraska",572
"Good Thunder city, Minnesota",572
"Coulee City town, Washington",572
"Pittman Center town, Tennessee",572
"Balmorhea city, Texas",572
"Arcadia city, Missouri",571
"Sutersville borough, Pennsylvania",571
"East Nassau village, New York",571
"Dansville village, Michigan",571
"Stebbins city, Alaska",571
"New Auburn village, Wisconsin",571
"Smithton city, Missouri",570
"Grannis city, Arkansas",570
"Kilmichael town, Mississippi",569
"Waterproof town, Louisiana",569
"North Troy village, Vermont",569
"Leary city, Georgia",569
"White City city, Kansas",569
"Medaryville town, Indiana",569
"Dexter city, Iowa",569
"North City village, Illinois",569
"Newcastle city, Texas",569
"Collins city, Georgia",569
"Freeburg borough, Pennsylvania",569
"Hammon town, Oklahoma",569
"Riverlea village, Ohio",569
"Crescent City village, Illinois",568
"Olustee town, Oklahoma",568
"Grand Tower city, Illinois",568
"Corning village, Ohio",568
"Meyers Lake village, Ohio",568
"Pleasant Hill town, Tennessee",568
"Mountain Park city, Georgia",568
"Doyle town, Tennessee",568
"Clark Fork city, Idaho",568
"Evans Mills village, New York",567
"Ravenna city, Kentucky",567
"Richland city, Iowa",567
"Wauneta village, Nebraska",567
"Waubay city, South Dakota",567
"East Ellijay city, Georgia",567
"Hot Springs town, Montana",567
"Cathlamet town, Washington",567
"St. Mary's city, Alaska",567
"Oakland borough, Pennsylvania",566
"Pratt town, West Virginia",566
"Belt town, Montana",566
"Arabi town, Georgia",566
"Britton village, Michigan",566
"Port Washington village, Ohio",566
"Buchtel village, Ohio",566
"Smiley city, Texas",566
"Hoffman town, North Carolina",565
"Gresham village, Wisconsin",565
"Newton Grove town, North Carolina",565
"Metamora village, Michigan",565
"Annetta South town, Texas",565
"Stem town, North Carolina",565
"Ranier city, Minnesota",565
"Ponce de Leon town, Florida",564
"Martin village, Louisiana",564
"Overton village, Nebraska",564
"Bonanza city, Arkansas",564
"Subiaco town, Arkansas",564
"Rawson village, Ohio",564
"Stoutsville village, Ohio",564
"Minnetonka Beach city, Minnesota",564
"St. John town, Washington",564
"Central Valley town, Utah",564
"Attica city, Kansas",563
"Andover borough, New Jersey",563
"Turtle Lake city, North Dakota",563
"Deport city, Texas",563
"Cook city, Minnesota",563
"Olanta town, South Carolina",563
"Kake city, Alaska",563
"Moscow city, Tennessee",563
"Carlock village, Illinois",563
"Rosalia town, Washington",563
"South Cle Elum town, Washington",563
"Post Oak Bend City town, Texas",562
"Wall borough, Pennsylvania",562
"Middle Point village, Ohio",562
"Groom town, Texas",562
"Palmyra village, Nebraska",562
"Petersburg town, Tennessee",562
